question_id,topic,question,question_image,correct_answer,wrong_answer1,wrong_answer2,wrong_answer3
0,Number Theory,Is 17 a prime number or a composite number?,NONE,Prime number,Composite number,NONE,NONE
1,Number Theory,"Is 39,787,874 divisible by 2?",NONE,Yes,No,NONE,NONE
2,Number Theory,Which of the following is an integer?,NONE,6/3,6/4,5/3,3/6
3,Exponents and square roots,An expression using an exponent for 2 x 2 x 2 x 2,NONE,2^4,2^3,4^2,8^2
4,Exponents and square roots,Evaluate 10^3,NONE,1000,100,10000,3000
5,Exponents and square roots,What is the square root of 64?,NONE,8,6,4,16
6,One-variable equasions,What value of x is a solution to the equasion "7x = 35",NONE,5,7,4,6
7,One-variable equasions,Solve for k in "k - 1 = 3",NONE,,,,
8,One-variable equasions,,NONE,,,,
9,Integers,,NONE,,,,
10,Integers,,NONE,,,,
11,Integers,,NONE,,,,
12,"Ratios, rates and proportions",,NONE,,,,
13,"Ratios, rates and proportions",,NONE,,,,
14,"Ratios, rates and proportions",,NONE,,,,
15,Two-variable equasions,,NONE,,,,
16,Two-variable equasions,,NONE,,,,
17,Two-variable equasions,,NONE,,,,
18,Operations with integers,,NONE,,,,
19,Operations with integers,,NONE,,,,
20,Operations with integers,,NONE,,,,
21,Proportional relationships,,NONE,,,,
22,Proportional relationships,,NONE,,,,
23,Proportional relationships,,NONE,,,,
24,Two-dimensional figures,,NONE,,,,
25,Two-dimensional figures,,NONE,,,,
26,Two-dimensional figures,,NONE,,,,
27,Decimals,,NONE,,,,
28,Decimals,,NONE,,,,
29,Decimals,,NONE,,,,
30,Operations with decimals,,NONE,,,,
31,Operations with decimals,,NONE,,,,
32,Operations with decimals,,NONE,,,,
33,Percents,,NONE,,,,
34,Percents,,NONE,,,,
35,Percents,,NONE,,,,
36,Transformations and congruence,,NONE,,,,
37,Transformations and congruence,,NONE,,,,
38,Transformations and congruence,,NONE,,,,
39,Fractions and mixed numbers,,NONE,,,,
40,Fractions and mixed numbers,,NONE,,,,
41,Fractions and mixed numbers,,NONE,,,,
42,Consumer maths,,NONE,,,,
43,Consumer maths,,NONE,,,,
44,Consumer maths,,NONE,,,,
45,Operations with fractions,,NONE,,,,
46,Operations with fractions,,NONE,,,,
47,Operations with fractions,,NONE,,,,
48,Problem solving and estimation,,NONE,,,,
49,Problem solving and estimation,,NONE,,,,
50,Problem solving and estimation,,NONE,,,,
51,three dimensional figures,,NONE,,,,
52,three dimensional figures,,NONE,,,,
53,three dimensional figures,,NONE,,,,
54,Geometric measurement,,NONE,,,,
55,Geometric measurement,,NONE,,,,
56,Geometric measurement,,NONE,,,,
57,Units of measurement,,NONE,,,,
58,Units of measurement,,NONE,,,,
59,Units of measurement,,NONE,,,,
60,Data and graphs,,NONE,,,,
61,Data and graphs,,NONE,,,,
62,Data and graphs,,NONE,,,,
63,Coordinate plane,,NONE,,,,
64,Coordinate plane,,NONE,,,,
65,Coordinate plane,,NONE,,,,
66,Number sequence,,NONE,,,,
67,Number sequence,,NONE,,,,
68,Number sequence,,NONE,,,,
69,Statistics,,NONE,,,,
70,Statistics,,NONE,,,,
71,Statistics,,NONE,,,,
72,Rational numbers,,NONE,,,,
73,Rational numbers,,NONE,,,,
74,Rational numbers,,NONE,,,,
75,Expressions and properties,,NONE,,,,
76,Expressions and properties,,NONE,,,,
77,Expressions and properties,,NONE,,,,
78,Probabililty,,NONE,,,,
79,Probabililty,,NONE,,,,
80,Probabililty,,NONE,,,,
